paper_id,title,year,venue_bucket,task_bucket,local_registered,pdf_valid,extracted_text,original_tables_detected,original_figures_detected,structured_original_metric_rows,original_experiment_data_status,china_experiment_status,china_h1_rankic,china_h1_ic,china_h5_rankic,china_h5_ic,original_best_ic,original_best_rankic,h5_rankic_delta_vs_original,comparison_status,code_url,inclusion_source
2021_tra_lin,Learning Multiple Stock Trading Patterns with Temporal Routing Adaptor and Optimal Transport,2021,KDD 2021,stock_trend_ranking,yes,True,True,2,8,16,structured_original_metrics_available,formal_h1_h5_complete,-0.02132450,-0.00552884,-0.03135955,-0.01290636,0.05900000,,,ready_for_metric_level_comparison,https://github.com/microsoft/qlib/tree/main/examples/benchmarks/TRA,local_registry
2023_doubleadapt_zhao,DoubleAdapt: A Meta-learning Approach to Incremental Learning for Stock Trend Forecasting,2023,KDD 2023,stock_trend_incremental,yes,True,True,3,7,24,structured_original_metrics_available,formal_h1_h5_complete,-0.00312869,0.00236500,0.05671244,0.06613830,0.06870000,0.06210000,-0.00538756,ready_for_metric_level_comparison,https://github.com/SJTU-DMTai/qlib,local_registry
2024_master_li,MASTER: Market-Guided Stock Transformer for Stock Price Forecasting,2024,AAAI 2024,stock_trend_ranking,yes,True,True,2,6,12,structured_original_metrics_available,formal_h1_h5_complete,-0.01482999,-0.00173863,-0.01968499,-0.01162947,0.06400000,0.07600000,-0.09568499,ready_for_metric_level_comparison,https://github.com/SJTU-DMTai/qlib,local_registry
2022_hist_xu,HIST: A Graph-based Framework for Stock Trend Forecasting via Mining Concept-Oriented Shared Information,2022,venue_unverified,stock_trend_graph,yes,True,True,3,6,12,structured_original_metrics_available,formal_h1_h5_complete,-0.01433130,-0.00457830,-0.03030684,-0.01629816,0.13100000,0.12600000,-0.15630684,ready_for_metric_level_comparison,https://github.com/microsoft/qlib,local_registry
2022_thgnn_xiang,Temporal and Heterogeneous Graph Neural Network for Financial Time Series Prediction,2022,CIKM 2022,stock_trend_graph,yes,True,True,3,6,14,structured_original_metrics_available,formal_h1_h5_complete,-0.01433130,-0.00457830,-0.03030684,-0.01629816,,,,ready_for_metric_level_comparison,,local_registry
2023_estimate_huynh,Efficient Integration of Multi-Order Dynamics and Internal Dynamics in Stock Movement Prediction,2023,WSDM 2023,stock_movement_hypergraph,yes,True,True,3,7,4,structured_original_metrics_available,formal_h1_h5_complete,-0.01433130,-0.00457830,-0.03030684,-0.01629816,0.08000000,0.51600000,-0.54630684,ready_for_metric_level_comparison,https://github.com/thanhtrunghuynh93/estimate,local_registry
2024_alphaforge_shi,AlphaForge: A Framework to Mine and Dynamically Combine Formulaic Alpha Factors,2024,preprint,alpha_factor_mining,yes,True,True,3,3,4,structured_original_metrics_available,formal_h1_h5_complete,-0.01482999,-0.00173863,-0.01968499,-0.01162947,0.04400000,0.05890000,-0.07858499,ready_for_metric_level_comparison,,local_registry
2026_alphaprobe_guo,AlphaPROBE: Alpha Mining via Principled Retrieval and On-graph biased evolution,2026,preprint,alpha_factor_mining,yes,True,True,4,8,21,structured_original_metrics_available,formal_h1_h5_complete,-0.01482999,-0.00173863,-0.01968499,-0.01162947,0.09040000,0.11350000,-0.13318499,ready_for_metric_level_comparison,https://github.com/gta0804/AlphaPROBE,local_registry
2021_adarnn_du,AdaRNN: Adaptive Learning and Forecasting of Time Series,2021,venue_unverified,time_series_adaptation,yes,True,True,6,5,6,structured_original_metrics_available,formal_h1_h5_complete,-0.02718109,-0.01077460,-0.04531338,-0.02084717,0.11500000,0.11000000,-0.15531338,ready_for_metric_level_comparison,https://github.com/microsoft/qlib/tree/main/examples/benchmarks/ADARNN,local_registry
2022_ddg_da_li,DDG-DA: Data Distribution Generation for Predictable Concept Drift Adaptation,2022,venue_unverified,stock_trend_concept_drift,yes,True,True,5,8,5,structured_original_metrics_available,formal_h1_h5_complete,-0.02718109,-0.01077460,-0.04531338,-0.02084717,0.13120000,,,ready_for_metric_level_comparison,https://github.com/microsoft/qlib,local_registry
2021_tcts_wu,Temporally Correlated Task Scheduling for Sequence Learning,2021,ICML 2021,time_series_alpha,yes,True,True,3,5,18,structured_original_metrics_available,formal_h1_h5_complete,-0.01291857,-0.00719981,-0.01981910,-0.00876161,,0.07500000,-0.09481910,ready_for_metric_level_comparison,https://github.com/microsoft/qlib/tree/main/examples/benchmarks/TCTS,local_registry
2025_rd_agent_quant_li,R&D-Agent-Quant: A Multi-Agent Framework for Data-Centric Factors and Model Joint Optimization,2025,preprint,alpha_factor_mining_agent,yes,True,True,11,12,16,structured_original_metrics_available,formal_h1_h5_complete,-0.00312869,0.00236500,0.05671244,0.06613830,0.05320000,0.04990000,0.00681244,ready_for_metric_level_comparison,https://github.com/microsoft/RD-Agent,local_registry
2022_factorvae_duan,FactorVAE: A Probabilistic Dynamic Factor Model Based on Variational Autoencoder for Predicting Cross-Sectional Stock Returns,2022,AAAI 2022,cross_sectional_return_factor,no,True,True,3,6,8,structured_original_metrics_available,formal_h1_h5_complete,-0.01482999,-0.00173863,-0.01968499,-0.01162947,,0.05500000,-0.07468499,ready_for_metric_level_comparison,,web_literature_scan
2021_hatr_wang,Hierarchical Adaptive Temporal-Relational Modeling for Stock Trend Prediction,2021,IJCAI 2021,stock_trend_temporal_relational,no,True,True,2,6,12,structured_original_metrics_available,formal_h1_h5_complete,-0.01433130,-0.00457830,-0.03030684,-0.01629816,,,,ready_for_metric_level_comparison,,web_literature_scan
2022_alsp_tf_wang,Adaptive Long-Short Pattern Transformer for Stock Investment Selection,2022,IJCAI 2022,stock_investment_selection,no,True,True,2,5,6,structured_original_metrics_available,formal_h1_h5_complete,-0.02132450,-0.00552884,-0.03135955,-0.01290636,,,,ready_for_metric_level_comparison,,web_literature_scan
2024_ci_sthpan_xia,CI-STHPAN: Pre-trained Attention Network for Stock Selection with Channel-Independent Spatio-Temporal Hypergraph,2024,AAAI 2024,stock_selection_hypergraph,no,False,False,0,0,12,structured_original_metrics_available,formal_h1_h5_complete,-0.01433130,-0.00457830,-0.03030684,-0.01629816,0.05300000,,,ready_for_metric_level_comparison,,web_literature_scan
2024_mdgnn_li,MDGNN: Multi-Relational Dynamic Graph Neural Network for Comprehensive and Dynamic Stock Investment Prediction,2024,AAAI 2024,stock_investment_graph,no,True,True,4,3,8,structured_original_metrics_available,formal_h1_h5_complete,-0.01433130,-0.00457830,-0.03030684,-0.01629816,0.03220000,,,ready_for_metric_level_comparison,,web_literature_scan
2021_deeptrader_wang,DeepTrader: A Deep Reinforcement Learning Approach for Risk-Return Balanced Portfolio Management with Market Conditions Embedding,2021,AAAI 2021,portfolio_reinforcement_learning,no,False,False,0,0,18,structured_original_metrics_available,formal_h1_h5_complete,-0.02132450,-0.00552884,-0.03135955,-0.01290636,,,,ready_for_metric_level_comparison,,web_literature_scan
2019_alphastock_wang,AlphaStock: A Buying-Winners-and-Selling-Losers Investment Strategy using Interpretable Deep Reinforcement Attention Networks,2019,KDD 2019,portfolio_reinforcement_learning,no,True,True,2,3,12,structured_original_metrics_available,formal_h1_h5_complete,-0.02132450,-0.00552884,-0.03135955,-0.01290636,,,,ready_for_metric_level_comparison,,web_literature_scan
2020_doubleensemble_zhang,DoubleEnsemble: A New Ensemble Method Based on Sample Reweighting and Feature Selection for Financial Data Analysis,2020,ICDM 2020,financial_model_ensemble,no,True,True,0,2,10,structured_original_metrics_available,formal_h1_h5_complete,-0.00312869,0.00236500,0.05671244,0.06613830,0.11500000,,,ready_for_metric_level_comparison,https://github.com/microsoft/qlib,web_literature_scan
2024_diffsformer_gao,DiffsFormer: A Diffusion Transformer on Stock Factor Augmentation,2024,preprint,stock_factor_augmentation,no,True,True,0,13,6,structured_original_metrics_available,formal_h1_h5_complete,-0.00312869,0.00236500,0.05671244,0.06613830,0.06030000,0.06720000,-0.01048756,ready_for_metric_level_comparison,,web_literature_scan
2025_finmamba_hu,FinMamba: Market-Aware Graph Enhanced Multi-Level Mamba for Stock Movement Prediction,2025,preprint,stock_movement_mamba,no,True,True,3,10,20,structured_original_metrics_available,formal_h1_h5_complete,-0.01433130,-0.00457830,-0.03030684,-0.01629816,,,,ready_for_metric_level_comparison,,web_literature_scan
2024_lsr_igru_zhu,LSR-IGRU: Stock Trend Prediction Based on Long Short-Term Relationships and Improved GRU,2024,CIKM 2024,stock_trend_gru,no,True,True,2,3,24,structured_original_metrics_available,formal_h1_h5_complete,-0.01433130,-0.00457830,-0.03030684,-0.01629816,,,,ready_for_metric_level_comparison,,web_literature_scan
2025_timefilter_hu,TimeFilter: Patch-Specific Spatial-Temporal Graph Filtration for Time Series Forecasting,2025,ICML 2025,time_series_graph_filter,no,True,True,11,10,10,structured_original_metrics_available,formal_h1_h5_complete,-0.01291857,-0.00719981,-0.01981910,-0.00876161,,,,ready_for_metric_level_comparison,,web_literature_scan
